beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,1.8,other,0,0.9574645181821454,0.04253548181785439,0.9574645181821454
2,1,2,0.1,1.8,other,0.1,0.9804291672696452,0.019570832730354072,0.9804291672696452
2,1,2,0.1,1.8,other,0.2,0.991110454564629,0.008889545435370974,0.991110454564629
2,1,2,0.1,1.8,other,0.3,0.9959860204644442,0.004013979535556776,0.9959860204644442
2,1,2,0.1,1.8,other,0.4,0.9981924072623638,0.0018075927376360384,0.9981924072623638
2,1,2,0.1,1.8,other,0.5,0.9991869869634468,0.0008130130365530321,0.9991869869634468
2,1,2,0.1,1.8,other,0.6,0.999634526070796,0.0003654739292043946,0.999634526070796
2,1,2,0.1,1.8,other,0.7,0.9998357489214793,0.00016425107852107468,0.9998357489214793
2,1,2,0.1,1.8,other,0.8,0.9999261905570938,0.00007380944290649862,0.9999261905570938
2,1,2,0.1,1.8,other,0.9,0.9999668339314516,0.00003316606854889505,0.9999668339314516
2,1,2,0.1,1.8,other,1,0.9999850972525975,0.000014902747402633719,0.9999850972525975
2,1,2,0.1,1.8,own,0,0.004655153630480444,0.9953448463695195,0.9953448463695195
2,1,2,0.1,1.8,own,0.1,0.010301464242018278,0.9896985357579815,0.9896985357579815
2,1,2,0.1,1.8,own,0.2,0.02264049705138893,0.9773595029486115,0.9773595029486115
2,1,2,0.1,1.8,own,0.3,0.04902700752233517,0.9509729924776649,0.9509729924776649
2,1,2,0.1,1.8,own,0.4,0.10292726768958453,0.8970727323104158,0.8970727323104158
2,1,2,0.1,1.8,own,0.5,0.2034103447822808,0.7965896552177198,0.7965896552177198
2,1,2,0.1,1.8,own,0.6,0.3623649272891145,0.6376350727108864,0.6376350727108864
2,1,2,0.1,1.8,own,0.7,0.5584529175894687,0.4415470824105307,0.4415470824105307
2,1,2,0.1,1.8,own,0.8,0.7378619854036688,0.2621380145963318,0.2621380145963318
2,1,2,0.1,1.8,own,0.9,0.8623427195756552,0.13765728042434502,0.13765728042434502
2,1,2,0.1,1.8,own,1,0.933073292896522,0.06692670710347796,0.06692670710347796
