beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,2,other,0,0.8138596871625288,0.1861403128374713,0.8138596871625288
2,1,1,0.1,2,other,0.1,0.9068095513310462,0.0931904486689531,0.9068095513310462
2,1,1,0.1,2,other,0.2,0.9558617787347357,0.044138221265264316,0.9558617787347357
2,1,1,0.1,2,other,0.3,0.9796733669346718,0.020326633065327813,0.9796733669346718
2,1,1,0.1,2,other,0.4,0.9907632655915561,0.009236734408443048,0.9907632655915561
2,1,1,0.1,2,other,0.5,0.995828449513252,0.004171550486747978,0.995828449513252
2,1,1,0.1,2,other,0.6,0.9981212858490058,0.0018787141509947305,0.9981212858490058
2,1,1,0.1,2,other,0.7,0.9991549650828573,0.0008450349171426453,0.9991549650828573
2,1,1,0.1,2,other,0.8,0.9996201245662263,0.0003798754337736161,0.9996201245662263
2,1,1,0.1,2,other,0.9,0.9998292752515533,0.0001707247484463625,0.9998292752515533
2,1,1,0.1,2,other,1,0.9999232812130552,0.00007671878694524935,0.9999232812130552
2,1,1,0.1,2,own,0,0.00007671878694524976,0.9999232812130543,0.9999232812130543
2,1,1,0.1,2,own,0.1,0.00017072474844636372,0.9998292752515533,0.9998292752515533
2,1,1,0.1,2,own,0.2,0.0003798754337736188,0.9996201245662263,0.9996201245662263
2,1,1,0.1,2,own,0.3,0.0008450349171426513,0.9991549650828573,0.9991549650828573
2,1,1,0.1,2,own,0.4,0.001878714150994744,0.9981212858490058,0.9981212858490058
2,1,1,0.1,2,own,0.5,0.004171550486748008,0.995828449513252,0.995828449513252
2,1,1,0.1,2,own,0.6,0.009236734408443114,0.9907632655915561,0.9907632655915561
2,1,1,0.1,2,own,0.7,0.02032663306532796,0.9796733669346718,0.9796733669346718
2,1,1,0.1,2,own,0.8,0.04413822126526463,0.9558617787347357,0.9558617787347357
2,1,1,0.1,2,own,0.9,0.09319044866895376,0.9068095513310462,0.9068095513310462
2,1,1,0.1,2,own,1,0.1861403128374723,0.8138596871625272,0.8138596871625272
