beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,0.8,other,0,0.20917836948758722,0.7908216305124128,0.20917836948758722
2,1,1,0.1,0.8,other,0.1,0.3705436839755285,0.6294563160244714,0.3705436839755285
2,1,1,0.1,0.8,other,0.2,0.5671211093133111,0.4328788906866889,0.5671211093133111
2,1,1,0.1,0.8,other,0.3,0.7446187635242212,0.25538123647577876,0.7446187635242212
2,1,1,0.1,0.8,other,0.4,0.866471570278017,0.13352842972198303,0.866471570278017
2,1,1,0.1,0.8,other,0.5,0.935239989998218,0.06476001000178203,0.935239989998218
2,1,1,0.1,0.8,other,0.6,0.9698253807585266,0.03017461924147326,0.9698253807585266
2,1,1,0.1,0.8,other,0.7,0.9862125737365108,0.013787426263489128,0.9862125737365108
2,1,1,0.1,0.8,other,0.8,0.9937575149936513,0.006242485006348757,0.9937575149936513
2,1,1,0.1,0.8,other,0.9,0.9971853953182552,0.0028146046817445316,0.9971853953182552
2,1,1,0.1,0.8,other,1,0.9987333533914248,0.0012666466085751711,0.9987333533914248
2,1,1,0.1,0.8,own,0,0.0012666466085751744,0.9987333533914248,0.9987333533914248
2,1,1,0.1,0.8,own,0.1,0.0028146046817445363,0.9971853953182552,0.9971853953182552
2,1,1,0.1,0.8,own,0.2,0.006242485006348775,0.9937575149936513,0.9937575149936513
2,1,1,0.1,0.8,own,0.3,0.013787426263489166,0.9862125737365106,0.9862125737365106
2,1,1,0.1,0.8,own,0.4,0.03017461924147334,0.9698253807585266,0.9698253807585266
2,1,1,0.1,0.8,own,0.5,0.06476001000178219,0.9352399899982178,0.9352399899982178
2,1,1,0.1,0.8,own,0.6,0.1335284297219833,0.8664715702780167,0.8664715702780167
2,1,1,0.1,0.8,own,0.7,0.25538123647577926,0.7446187635242206,0.7446187635242206
2,1,1,0.1,0.8,own,0.8,0.4328788906866896,0.5671211093133104,0.5671211093133104
2,1,1,0.1,0.8,own,0.9,0.6294563160244722,0.37054368397552795,0.37054368397552795
2,1,1,0.1,0.8,own,1,0.7908216305124132,0.2091783694875868,0.2091783694875868
