beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,0.2,other,0,0.07596691278657128,0.9240330872134284,0.07596691278657128
2,1,2,0.1,0.2,other,0.1,0.15466781344360347,0.8453321865563966,0.15466781344360347
2,1,2,0.1,0.2,other,0.2,0.28936912856328995,0.7106308714367099,0.28936912856328995
2,1,2,0.1,0.2,other,0.3,0.475407362204027,0.524592637795973,0.475407362204027
2,1,2,0.1,0.2,other,0.4,0.6685313392050634,0.33146866079493686,0.6685313392050634
2,1,2,0.1,0.2,other,0.5,0.8178055405635769,0.18219445943642293,0.8178055405635769
2,1,2,0.1,0.2,other,0.6,0.9090053286246386,0.09099467137536177,0.9090053286246386
2,1,2,0.1,0.2,other,0.7,0.9569566360990571,0.0430433639009433,0.9569566360990571
2,1,2,0.1,0.2,other,0.8,0.9801898143290342,0.019810185670965645,0.9801898143290342
2,1,2,0.1,0.2,other,0.9,0.9910005355768668,0.008999464423132902,0.9910005355768668
2,1,2,0.1,0.2,other,1,0.9959361405243201,0.004063859475679952,0.9959361405243201
2,1,2,0.1,0.2,own,0,0.007669608912420095,0.9923303910875803,0.9923303910875803
2,1,2,0.1,0.2,own,0.1,0.016910083568719633,0.9830899164312803,0.9830899164312803
2,1,2,0.1,0.2,own,0.2,0.03686998944297983,0.9631300105570197,0.9631300105570197
2,1,2,0.1,0.2,own,0.3,0.07850822301012991,0.9214917769898704,0.9214917769898704
2,1,2,0.1,0.2,own,0.4,0.1593877634164163,0.8406122365835833,0.8406122365835833
2,1,2,0.1,0.2,own,0.5,0.2967566637764445,0.7032433362235557,0.7032433362235557
2,1,2,0.1,0.2,own,0.6,0.48430753484384714,0.5156924651561524,0.5156924651561524
2,1,2,0.1,0.2,own,0.7,0.6763853534039512,0.32361464659604877,0.32361464659604877
2,1,2,0.1,0.2,own,0.8,0.8230587049593938,0.17694129504060585,0.17694129504060585
2,1,2,0.1,0.2,own,0.9,0.9119121878142498,0.08808781218574993,0.08808781218574993
2,1,2,0.1,0.2,own,1,0.958401772454123,0.04159822754587718,0.04159822754587718
