beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,0.8,other,0,0.40280287118686764,0.5971971288131324,0.40280287118686764
2,1,2,0.1,0.8,other,0.1,0.6001763685204886,0.39982363147951133,0.6001763685204886
2,1,2,0.1,0.8,other,0.2,0.7696258978122517,0.2303741021877483,0.7696258978122517
2,1,2,0.1,0.8,other,0.3,0.8814465061103894,0.11855349388961048,0.8814465061103894
2,1,2,0.1,0.8,other,0.4,0.9430099439898948,0.05699005601010523,0.9430099439898948
2,1,2,0.1,0.8,other,0.5,0.9735630524391742,0.026436947560825784,0.9735630524391742
2,1,2,0.1,0.8,other,0.6,0.9879456254139288,0.012054374586071056,0.9879456254139288
2,1,2,0.1,0.8,other,0.7,0.9945474261968431,0.005452573803156857,0.9945474261968431
2,1,2,0.1,0.8,other,0.8,0.9975426222014272,0.0024573777985725815,0.9975426222014272
2,1,2,0.1,0.8,other,0.9,0.9988943327829505,0.0011056672170494841,0.9988943327829505
2,1,2,0.1,0.8,other,1,0.9995028890242571,0.0004971109757429274,0.9995028890242571
2,1,2,0.1,0.8,own,0,0.006361167077728676,0.9936388329222713,0.9936388329222713
2,1,2,0.1,0.8,own,0.1,0.014047524997240636,0.9859524750027594,0.9859524750027594
2,1,2,0.1,0.8,own,0.2,0.030734227002942968,0.9692657729970571,0.9692657729970571
2,1,2,0.1,0.8,own,0.3,0.06591743065742234,0.9340825693425778,0.9340825693425778
2,1,2,0.1,0.8,own,0.4,0.13573653081092307,0.8642634691890769,0.8642634691890769
2,1,2,0.1,0.8,own,0.5,0.2590020407629085,0.7409979592370916,0.7409979592370916
2,1,2,0.1,0.8,own,0.6,0.43753752919100014,0.5624624708089999,0.5624624708089999
2,1,2,0.1,0.8,own,0.7,0.6338659723403797,0.36613402765962016,0.36613402765962016
2,1,2,0.1,0.8,own,0.8,0.7939396019154608,0.2060603980845393,0.2060603980845393
2,1,2,0.1,0.8,own,0.9,0.8955601489720808,0.10443985102791926,0.10443985102791926
2,1,2,0.1,0.8,own,1,0.9502085436394071,0.04979145636059293,0.04979145636059293
