beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,2,other,0,0.9784480222318911,0.021551977768109274,0.9784480222318911
2,1,2,0.1,2,other,0.1,0.9901997624462343,0.009800237553766175,0.9901997624462343
2,1,2,0.1,2,other,0.2,0.99557257590139,0.0044274240986092025,0.99557257590139
2,1,2,0.1,2,other,0.3,0.9980057680705039,0.0019942319294964533,0.9980057680705039
2,1,2,0.1,2,other,0.4,0.9991029487219084,0.0008970512780908516,0.9991029487219084
2,1,2,0.1,2,other,0.5,0.9995967296709154,0.0004032703290848832,0.9995967296709154
2,1,2,0.1,2,other,0.6,0.9998187587126497,0.00018124128735089683,0.9998187587126497
2,1,2,0.1,2,other,0.7,0.9999185549115276,0.00008144508847292913,0.9999185549115276
2,1,2,0.1,2,other,0.8,0.9999634027213964,0.000036597278603838955,0.9999634027213964
2,1,2,0.1,2,other,0.9,0.9999835554513078,0.00001644454869257052,0.9999835554513078
2,1,2,0.1,2,other,1,0.9999926109210587,0.000007389078941483157,0.9999926109210587
2,1,2,0.1,2,own,0,0.004373080946322925,0.9956269190536768,0.9956269190536768
2,1,2,0.1,2,own,0.1,0.009680588583071605,0.9903194114169291,0.9903194114169291
2,1,2,0.1,2,own,0.2,0.0212919394384964,0.9787080605615044,0.9787080605615044
2,1,2,0.1,2,own,0.3,0.04618102830042905,0.9538189716995706,0.9538189716995706
2,1,2,0.1,2,own,0.4,0.09727246420719932,0.9027275357928013,0.9027275357928013
2,1,2,0.1,2,own,0.5,0.19342534662961122,0.8065746533703883,0.8065746533703883
2,1,2,0.1,2,own,0.6,0.3479857639413625,0.6520142360586383,0.6520142360586383
2,1,2,0.1,2,own,0.7,0.5429179217857382,0.4570820782142618,0.4570820782142618
2,1,2,0.1,2,own,0.8,0.7255369134947642,0.27446308650523615,0.27446308650523615
2,1,2,0.1,2,own,0.9,0.8547180330176656,0.14528196698233525,0.14528196698233525
2,1,2,0.1,2,own,1,0.9290439367662027,0.07095606323379691,0.07095606323379691
