beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,1.8,other,0,0.7325812541440353,0.267418745855965,0.7325812541440353
2,1,1,0.1,1.8,other,0.1,0.8590907498979062,0.14090925010209332,0.8590907498979062
2,1,1,0.1,1.8,other,0.2,0.9313592371475874,0.06864076285241348,0.9313592371475874
2,1,1,0.1,1.8,other,0.3,0.967946129550731,0.032053870449268364,0.967946129550731
2,1,1,0.1,1.8,other,0.4,0.9853384749932482,0.014661525006752293,0.9853384749932482
2,1,1,0.1,1.8,other,0.5,0.9933585310803916,0.006641468919608339,0.9933585310803916
2,1,1,0.1,1.8,other,0.6,0.9970048415633039,0.0029951584366956366,0.9970048415633039
2,1,1,0.1,1.8,other,0.7,0.9986519651850964,0.0013480348149038713,0.9986519651850964
2,1,1,0.1,1.8,other,0.8,0.9993938389452918,0.0006061610547085655,0.9993938389452918
2,1,1,0.1,1.8,other,0.9,0.999727543336436,0.0002724566635639369,0.999727543336436
2,1,1,0.1,1.8,other,1,0.9998775589592758,0.0001224410407242842,0.9998775589592758
2,1,1,0.1,1.8,own,0,0.00012244104072428507,0.9998775589592758,0.9998775589592758
2,1,1,0.1,1.8,own,0.1,0.00027245666356393884,0.999727543336436,0.999727543336436
2,1,1,0.1,1.8,own,0.2,0.0006061610547085698,0.9993938389452918,0.9993938389452918
2,1,1,0.1,1.8,own,0.3,0.0013480348149038808,0.9986519651850964,0.9986519651850964
2,1,1,0.1,1.8,own,0.4,0.0029951584366956583,0.9970048415633039,0.9970048415633039
2,1,1,0.1,1.8,own,0.5,0.006641468919608386,0.9933585310803916,0.9933585310803916
2,1,1,0.1,1.8,own,0.6,0.014661525006752397,0.9853384749932482,0.9853384749932482
2,1,1,0.1,1.8,own,0.7,0.032053870449268586,0.967946129550731,0.967946129550731
2,1,1,0.1,1.8,own,0.8,0.06864076285241386,0.9313592371475857,0.9313592371475857
2,1,1,0.1,1.8,own,0.9,0.14090925010209432,0.8590907498979062,0.8590907498979062
2,1,1,0.1,1.8,own,1,0.26741874585596637,0.732581254144034,0.732581254144034
