beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,1.2,other,0,0.40255567971784756,0.5974443202821526,0.40255567971784756
2,1,1,0.1,1.2,other,0.1,0.5999297312795188,0.40007026872048096,0.5999297312795188
2,1,1,0.1,1.2,other,0.2,0.7694436340731644,0.23055636592683554,0.7694436340731644
2,1,1,0.1,1.2,other,0.3,0.881339070763665,0.11866092923633506,0.881339070763665
2,1,1,0.1,1.2,other,0.4,0.9429546879550809,0.05704531204491916,0.9429546879550809
2,1,1,0.1,1.2,other,0.5,0.9735365885665975,0.026463411433402403,0.9735365885665975
2,1,1,0.1,1.2,other,0.6,0.9879333803191382,0.012066619680861672,0.9879333803191382
2,1,1,0.1,1.2,other,0.7,0.994541850303929,0.0054581496960708735,0.994541850303929
2,1,1,0.1,1.2,other,0.8,0.9975401016700821,0.0024598983299180537,0.9975401016700821
2,1,1,0.1,1.2,other,0.9,0.9988931971622581,0.0011068028377417838,0.9988931971622581
2,1,1,0.1,1.2,other,1,0.9995023781347385,0.0004976218652614014,0.9995023781347385
2,1,1,0.1,1.2,own,0,0.0004976218652614033,0.9995023781347385,0.9995023781347385
2,1,1,0.1,1.2,own,0.1,0.0011068028377417877,0.9988931971622581,0.9988931971622581
2,1,1,0.1,1.2,own,0.2,0.0024598983299180623,0.9975401016700821,0.9975401016700821
2,1,1,0.1,1.2,own,0.3,0.005458149696070893,0.994541850303929,0.994541850303929
2,1,1,0.1,1.2,own,0.4,0.012066619680861715,0.9879333803191382,0.9879333803191382
2,1,1,0.1,1.2,own,0.5,0.026463411433402497,0.9735365885665975,0.9735365885665975
2,1,1,0.1,1.2,own,0.6,0.05704531204491934,0.9429546879550804,0.9429546879550804
2,1,1,0.1,1.2,own,0.7,0.11866092923633542,0.8813390707636647,0.8813390707636647
2,1,1,0.1,1.2,own,0.8,0.23055636592683626,0.7694436340731641,0.7694436340731641
2,1,1,0.1,1.2,own,0.9,0.400070268720482,0.5999297312795182,0.5999297312795182
2,1,1,0.1,1.2,own,1,0.5974443202821533,0.40255567971784667,0.40255567971784667
