beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,1.2,other,0,0.7328831448669242,0.2671168551330753,0.7328831448669242
2,1,2,0.1,1.2,other,0.1,0.8592772572717308,0.14072274272826962,0.8592772572717308
2,1,2,0.1,1.2,other,0.2,0.9314577217723932,0.06854227822760692,0.9314577217723932
2,1,2,0.1,1.2,other,0.3,0.9679939238715524,0.03200607612844776,0.9679939238715524
2,1,2,0.1,1.2,other,0.4,0.9853607284550681,0.014639271544931864,0.9853607284550681
2,1,2,0.1,1.2,other,0.5,0.9933686935158259,0.006631306484174116,0.9933686935158259
2,1,2,0.1,1.2,other,0.6,0.9970094413983459,0.0029905586016543617,0.9970094413983459
2,1,2,0.1,1.2,other,0.7,0.9986540388537235,0.0013459611462764394,0.9986540388537235
2,1,2,0.1,1.2,other,0.8,0.9993947720884774,0.0006052279115225982,0.9993947720884774
2,1,2,0.1,1.2,other,0.9,0.9997279629045346,0.00027203709546533777,0.9997279629045346
2,1,2,0.1,1.2,other,1,0.999877747539914,0.0001222524600859605,0.999877747539914
2,1,2,0.1,1.2,own,0,0.005614664846267432,0.9943853351537325,0.9943853351537325
2,1,2,0.1,1.2,own,0.1,0.012410271318721841,0.987589728681278,0.987589728681278
2,1,2,0.1,1.2,own,0.2,0.02720578591794992,0.97279421408205,0.97279421408205
2,1,2,0.1,1.2,own,0.3,0.05859396165911339,0.9414060383408865,0.9414060383408865
2,1,2,0.1,1.2,own,0.4,0.12166647560981604,0.8783335243901842,0.8783335243901842
2,1,2,0.1,1.2,own,0.5,0.23563833763899936,0.7643616623610006,0.7643616623610006
2,1,2,0.1,1.2,own,0.6,0.4069127106991579,0.593087289300842,0.593087289300842
2,1,2,0.1,1.2,own,0.7,0.6042623831249081,0.3957376168750919,0.3957376168750919
2,1,2,0.1,1.2,own,0.8,0.7726362313805445,0.2273637686194554,0.2273637686194554
2,1,2,0.1,1.2,own,0.9,0.8832173809215446,0.11678261907845518,0.11678261907845518
2,1,2,0.1,1.2,own,1,0.9439197316552048,0.05608026834479542,0.05608026834479542
