beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,1.4,other,0,0.8469465076670855,0.1530534923329147,0.8469465076670855
2,1,2,0.1,1.4,other,0.1,0.9248989573594142,0.07510104264058609,0.9248989573594142
2,1,2,0.1,1.4,other,0.2,0.9647991615232366,0.035200838476763,0.9647991615232366
2,1,2,0.1,1.4,other,0.3,0.9838705899001603,0.01612941009983992,0.9838705899001603
2,1,2,0.1,1.4,other,0.4,0.9926876404984722,0.007312359501528104,0.9926876404984722
2,1,2,0.1,1.4,other,0.5,0.9967010612280585,0.003298938771941247,0.9967010612280585
2,1,2,0.1,1.4,other,0.6,0.9985149935516073,0.0014850064483926707,0.9985149935516073
2,1,2,0.1,1.4,other,0.7,0.9993321974953119,0.0006678025046880775,0.9993321974953119
2,1,2,0.1,1.4,other,0.8,0.9996998266067207,0.0003001733932790444,0.9996998266067207
2,1,2,0.1,1.4,other,0.9,0.9998651011017872,0.00013489889821293518,0.9998651011017872
2,1,2,0.1,1.4,other,1,0.9999393815147662,0.00006061848523365724,0.9999393815147662
2,1,2,0.1,1.4,own,0,0.005274759999144177,0.9947252400008557,0.9947252400008557
2,1,2,0.1,1.4,own,0.1,0.011663794433650985,0.9883362055663492,0.9883362055663492
2,1,2,0.1,1.4,own,0.2,0.025592422104542135,0.9744075778954578,0.9744075778954578
2,1,2,0.1,1.4,own,0.3,0.05522487878736591,0.9447751212126342,0.9447751212126342
2,1,2,0.1,1.4,own,0.4,0.11511425503104691,0.8848857449689533,0.8848857449689533
2,1,2,0.1,1.4,own,0.5,0.22451721852469564,0.7754827814753049,0.7754827814753049
2,1,2,0.1,1.4,own,0.6,0.3918521616009689,0.6081478383990309,0.6081478383990309
2,1,2,0.1,1.4,own,0.7,0.589153385443081,0.41084661455691857,0.41084661455691857
2,1,2,0.1,1.4,own,0.8,0.7614174921914172,0.2385825078085829,0.2385825078085829
2,1,2,0.1,1.4,own,0.9,0.8765834427884794,0.12341655721152046,0.12341655721152046
2,1,2,0.1,1.4,own,1,0.9405017507338935,0.059498249266106355,0.059498249266106355
