beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,1,other,0,0.2968472631841481,0.7031527368158518,0.2968472631841481
2,1,1,0.1,1,other,0.1,0.4844159514742579,0.5155840485257419,0.4844159514742579
2,1,1,0.1,1,other,0.2,0.6764803635635486,0.32351963643645143,0.6764803635635486
2,1,1,0.1,1,other,0.3,0.8231219141238207,0.1768780858761792,0.8231219141238207
2,1,1,0.1,1,other,0.4,0.9119470514062723,0.08805294859372752,0.9119470514062723
2,1,1,0.1,1,other,0.5,0.9584190752768645,0.041580924723135404,0.9584190752768645
2,1,1,0.1,1,other,0.6,0.9808786569177904,0.019121343082209426,0.9808786569177904
2,1,1,0.1,1,other,0.7,0.9913167963210939,0.00868320367890596,0.9913167963210939
2,1,1,0.1,1,other,0.8,0.9960796395341817,0.003920360465818388,0.9960796395341817
2,1,1,0.1,1,other,0.9,0.9982346574202444,0.0017653425797555672,0.9982346574202444
2,1,1,0.1,1,other,1,0.9992060085899933,0.0007939914100065641,0.9992060085899933
2,1,1,0.1,1,own,0,0.000793991410006567,0.9992060085899933,0.9992060085899933
2,1,1,0.1,1,own,0.1,0.0017653425797555734,0.9982346574202444,0.9982346574202444
2,1,1,0.1,1,own,0.2,0.0039203604658184016,0.9960796395341817,0.9960796395341817
2,1,1,0.1,1,own,0.3,0.008683203678905991,0.9913167963210939,0.9913167963210939
2,1,1,0.1,1,own,0.4,0.019121343082209495,0.9808786569177904,0.9808786569177904
2,1,1,0.1,1,own,0.5,0.04158092472313556,0.9584190752768644,0.9584190752768644
2,1,1,0.1,1,own,0.6,0.08805294859372784,0.9119470514062723,0.9119470514062723
2,1,1,0.1,1,own,0.7,0.17687808587617973,0.8231219141238202,0.8231219141238202
2,1,1,0.1,1,own,0.8,0.3235196364364522,0.6764803635635478,0.6764803635635478
2,1,1,0.1,1,own,0.9,0.5155840485257429,0.48441595147425703,0.48441595147425703
2,1,1,0.1,1,own,1,0.7031527368158526,0.2968472631841474,0.2968472631841474
