beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,1.6,other,0,0.9177679960234298,0.08223200397656971,0.9177679960234298
2,1,2,0.1,1.6,other,0.1,0.9612982561758722,0.0387017438241281,0.9612982561758722
2,1,2,0.1,1.6,other,0.2,0.9822315046195558,0.01776849538044442,0.9822315046195558
2,1,2,0.1,1.6,other,0.3,0.9919372092284086,0.008062790771591886,0.9919372092284086
2,1,2,0.1,1.6,other,0.4,0.9963609976029487,0.0036390023970512353,0.9963609976029487
2,1,2,0.1,1.6,other,0.5,0.9983616076592103,0.0016383923407898085,0.9983616076592103
2,1,2,0.1,1.6,other,0.6,0.9992631580767063,0.000736841923293383,0.9992631580767063
2,1,2,0.1,1.6,other,0.7,0.9996687811873696,0.00033121881263063866,0.9996687811873696
2,1,2,0.1,1.6,other,0.8,0.9998511466442732,0.00014885335572702196,0.9998511466442732
2,1,2,0.1,1.6,other,0.9,0.999933110392976,0.0000668896070238843,0.999933110392976
2,1,2,0.1,1.6,other,1,0.9999699434550581,0.0000300565449421116,0.9999699434550581
2,1,2,0.1,1.6,own,0,0.004955330026309206,0.9950446699736906,0.9950446699736906
2,1,2,0.1,1.6,own,0.1,0.010961719705053921,0.989038280294946,0.989038280294946
2,1,2,0.1,1.6,own,0.2,0.024072366804507535,0.9759276331954925,0.9759276331954925
2,1,2,0.1,1.6,own,0.3,0.052038805851889046,0.9479611941481109,0.9479611941481109
2,1,2,0.1,1.6,own,0.4,0.10887115937071785,0.8911288406292819,0.8911288406292819
2,1,2,0.1,1.6,own,0.5,0.2137741748585934,0.7862258251414069,0.7862258251414069
2,1,2,0.1,1.6,own,0.6,0.3769947086084382,0.6230052913915617,0.6230052913915617
2,1,2,0.1,1.6,own,0.7,0.5738743318022058,0.42612566819779374,0.42612566819779374
2,1,2,0.1,1.6,own,0.8,0.7498244309862394,0.2501755690137604,0.2501755690137604
2,1,2,0.1,1.6,own,0.9,0.8696282843650391,0.13037171563496122,0.13037171563496122
2,1,2,0.1,1.6,own,1,0.936889378917817,0.06311062108218271,0.06311062108218271
