beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,0.6,other,0,0.250612182221767,0.7493878177782329,0.250612182221767
2,1,2,0.1,0.6,other,0.1,0.42669461159713107,0.5733053884028689,0.42669461159713107
2,1,2,0.1,0.6,other,0.2,0.6235514800447822,0.3764485199552178,0.6235514800447822
2,1,2,0.1,0.6,other,0.3,0.7866165341403711,0.2133834658596288,0.7866165341403711
2,1,2,0.1,0.6,other,0.4,0.8913543155920675,0.10864568440793251,0.8913543155920675
2,1,2,0.1,0.6,other,0.5,0.9480758260505117,0.051924173949488166,0.9480758260505117
2,1,2,0.1,0.6,other,0.6,0.9759822210221071,0.024017778977892916,0.9759822210221071
2,1,2,0.1,0.6,other,0.7,0.9890634708629273,0.010936529137072765,0.9890634708629273
2,1,2,0.1,0.6,other,0.8,0.9950561265609317,0.004943873439068352,0.9950561265609317
2,1,2,0.1,0.6,other,0.9,0.9977725102440708,0.002227489755929271,0.9977725102440708
2,1,2,0.1,0.6,other,1,0.9989978951394434,0.0010021048605563555,0.9989978951394434
2,1,2,0.1,0.6,own,0,0.006770603346051572,0.9932293966539483,0.9932293966539483
2,1,2,0.1,0.6,own,0.1,0.014944252656586547,0.9850557473434135,0.9850557473434135
2,1,2,0.1,0.6,own,0.2,0.03266086887135978,0.9673391311286402,0.9673391311286402
2,1,2,0.1,0.6,own,0.3,0.06989057423445454,0.9301094257655457,0.9301094257655457
2,1,2,0.1,0.6,own,0.4,0.14327250483937273,0.8567274951606274,0.8567274951606274
2,1,2,0.1,0.6,own,0.5,0.27123386722051945,0.7287661327794803,0.7287661327794803
2,1,2,0.1,0.6,own,0.6,0.45304589855681876,0.5469541014431814,0.5469541014431814
2,1,2,0.1,0.6,own,0.7,0.648312207329808,0.35168779267019196,0.35168779267019196
2,1,2,0.1,0.6,own,0.8,0.8040226820310512,0.19597731796894902,0.19597731796894902
2,1,2,0.1,0.6,own,0.9,0.9012889093021074,0.09871109069789244,0.09871109069789244
2,1,2,0.1,0.6,own,1,0.9530967098470505,0.04690329015294931,0.04690329015294931
