beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,2,0.1,0.4,other,0,0.142228846877609,0.8577711531223909,0.142228846877609
2,1,2,0.1,0.4,other,0.1,0.269551357808902,0.730448642191098,0.269551357808902
2,1,2,0.1,0.4,other,0.2,0.45093342583910595,0.5490665741608941,0.45093342583910595
2,1,2,0.1,0.4,other,0.3,0.6463652202470132,0.35363477975298674,0.6463652202470132
2,1,2,0.1,0.4,other,0.4,0.8026753534137032,0.19732464658629664,0.8026753534137032
2,1,2,0.1,0.4,other,0.5,0.9005275480859369,0.09947245191406316,0.9005275480859369
2,1,2,0.1,0.4,other,0.6,0.9527139788449304,0.047286021155070065,0.9527139788449304
2,1,2,0.1,0.4,other,0.7,0.9781849788394342,0.021815021160566075,0.9781849788394342
2,1,2,0.1,0.4,other,0.8,0.9900786954978952,0.009921304502105094,0.9900786954978952
2,1,2,0.1,0.4,other,0.9,0.9955175813914894,0.004482418608510868,0.9955175813914894
2,1,2,0.1,0.4,other,1,0.997980935756703,0.002019064243296808,0.997980935756703
2,1,2,0.1,0.4,own,0,0.007206201840331512,0.9927937981596684,0.9927937981596684
2,1,2,0.1,0.4,own,0.1,0.015897300202703222,0.9841026997972967,0.9841026997972967
2,1,2,0.1,0.4,own,0.2,0.034703962175243526,0.9652960378247566,0.9652960378247566
2,1,2,0.1,0.4,own,0.3,0.07408420360188551,0.9259157963981145,0.9259157963981145
2,1,2,0.1,0.4,own,0.4,0.15115369594633218,0.8488463040536676,0.8488463040536676
2,1,2,0.1,0.4,own,0.5,0.28382210025792265,0.7161778997420774,0.7161778997420774
2,1,2,0.1,0.4,own,0.6,0.46864595385742125,0.5313540461425791,0.5313540461425791
2,1,2,0.1,0.4,own,0.7,0.6624919477538995,0.3375080522461005,0.3375080522461005
2,1,2,0.1,0.4,own,0.8,0.8137281285626456,0.1862718714373539,0.1862718714373539
2,1,2,0.1,0.4,own,0.9,0.9067361588089686,0.09326384119103123,0.09326384119103123
2,1,2,0.1,0.4,own,1,0.9558251355890561,0.04417486441094355,0.04417486441094355
